AREA,,CLINIC CODE,,CLINIC,,ADDRESS,,POSTAL,,TEL,,FAX,,"OPERATING HOURS
MON - FRI",,SAT,,SUN,,PUBLIC HOLIDAY,,REMARKS,
YISHUN,,SGP000567,,CENTRAL CLINIC & SURGERY (YISHUN),,BLK 701A YISHUN AVENUE 5 #01-04,,761701,,67597985,,67597984,,24 HOURS,,24 HOURS,,24 HOURS,,24 HOURS,,,
YISHUN,,SGP000603,,GREENLINK  MEDICAL CLINIC PTE LTD,,BLK 807 YISHUN RING ROAD #01-4213,,760807,,67552238,,67552238,,"8.30AM-3.00PM,
6.30PM-9.00PM",,8.30AM-12.30PM,,CLOSED,,CLOSED,,,
YISHUN,,SGP000625,,PARSONS MEDICAL CLINIC PTE LTD,,BLK 779 YISHUN AVENUE 2 #01-1541,,760779,,64846010,,64840490,,"MON: CLOSED TUE/WED/FRI:
9.00AM-12.00PM THU: 3.00PM-
7.00PM",,CLOSED,,CLOSED,,CLOSED,,,
YISHUN,,SGP000714,,ONECARE CLINIC YISHUN PTE LTD,,BLK 431 YISHUN AVENUE 1 #01-04,,760431,,63342373,,63342374,,"8.30AM-2.30PM,
6.30PM-9.30PM",,8.30AM-12.30PM,,"8.30AM-12.30PM,
6.30PM-9.30PM",,8.30AM-12.30PM (PLEASE CALL CLINIC BEFORE CONSULT),,,
YISHUN,,SGP000725,,HEARTLAND  FAMILY CLINIC,,BLK 333C YISHUN STREET 31 #01-167,,763333,,62500655,,62502803,,"MON-THU: 8.00AM-
12.30PM, 2.00PM-
4.00PM, 6.30-
9.00PM   FRI:
8.00AM-1.00PM,
6.00PM-9.00PM",,8.30AM-1.00PM,,6.00PM-9.00PM,,CLOSED,,,
YISHUN,,SGP000727,,WELLCARE FAMILY CLINIC,,BLK 747 YISHUN STREET 72 #01-106,,760747,,67543740,,67543742,,"8.30AM-1.00PM,
6.30PM-9.00PM",,9.00AM-12.00PM,,CLOSED,,CLOSED,,,
JOHOR BAHRU,MGP000068,,KLINIK ASIA JAYA,,"4 Jalan Dedap 15 Taman Johor Jaya 81100 Johor
Bahru",,81100,,07-3546677,,07-3341152,,"9.00AM-5.00PM 
6.00PM-10.00PM",,"9.00AM-5.00PM 
6.00PM-10.00PM",,"9.00AM-5.00PM 
6.00PM-10.00PM",,"9.00AM-5.00PM 
6.00PM-10.00PM",,,,
JOHOR BAHRU,MGP000004,,KLINIK MESRA PLAZA,,"21 Jalan Balau, Taman Melodies 80250 Johor
Bahru",,80250,,07-3310788,,07-3310028,,"9.00AM-1.00PM 
2.00PM-5.00PM 
6.00PM-9.30PM",,"9.00AM-1.00PM 
2.00PM-5.00PM 
6.00PM-9.30PM",,"9.00AM-1.00PM 
2.00PM-5.00PM 
6.00PM-9.30PM",,"9.00AM-1.00PM 
2.00PM-5.00PM 
6.00PM-9.30PM",,,,
JOHOR BAHRU,MGP000006,,KLINIK THEESAN (165),,"165 Jalan Harimau, Century Garden 80250 Johor
Bahru",,80250,,07-3326011,,07-3327011,,8.30AM-12.30AM,,8.30AM-12.00AM,,8.30AM-12.00AM,,8.30AM-12.00AM,,,,
JOHOR BAHRU,MGP000007,,KLINIK THEESAN (75),,"75 Jalan Dedap 6, Taman Johor Jaya 81100 Johor
Bahru",,81100,,07-3551150,,07-3551153,,8.30AM-10.00PM,,8.30AM-10.00PM,,8.30AM-10.00PM,,8.30AM-10.00PM,,,,
JOHOR BAHRU,MGP000008,,KLINIK THEESAN (18),,"No.18 Jalan Kebudayaan  1, Taman Universiti
Skudai, 81300 Johor",,81300,,07-5206005,,07-5206009,,8.30AM-10.00PM,,8.30AM-10.00PM,,8.30AM-10.00PM,,8.30AM-10.00PM,,,,
JOHOR BAHRU,MGP000017,,CLINIC AUSTRALIA,,"37 JALAN KUNING 2, TAMAN PELANGI",,80400,,07-3319380,,07-3319380,,"9.00AM-1.00PM,
2.00PM-5.00PM,
7.00PM-9.00PM",,"9.00AM-1.00PM,
2.00PM-5.00PM",,CLOSED,,CLOSED,,,,
JOHOR BAHRU,MGP000024,,KLINIK FEDERAL,,"34 JALAN HARIMAU TARUM, CENTURY GARDEN",,80250,,07-3339928,,07-3339 928,,"8.00AM-5.30PM,
7.00PM-9.00PM",,8.00AM-5.00PM,,CLOSED,,CLOSED,,,,
JOHOR BAHRU,MGP000071,,KLINIK ASIA SKUDAI,,"14 Jalan Shanbandar  2 Taman Ungku Tun Aminah
11 81300 Johor Bahru",,81300,,07-5567844,,07-3341152,,9.00AM-5.00PM,,9.00AM-1.00PM,,CLOSED,,,,,,
JOHOR BAHRU,MGP000072,,KLINIK ASIA TEBRAU,,"111 Jalan Perisai, Taman Sri Tebrau 80050 Johor
Bahru",,80050,,07-3333234,,07-3341152,,24 HOURS,,24 HOURS,,24 HOURS,,24 HOURS,,,,
JOHOR BAHRU,MGP000222,,KLINIK PERLING,,"262 Jalan Simbang, Taman Perling Johor Bahru
Johor Bahru, Malaysia",,81200,,07-2388520,,07-2368520,,"8.30AM-1.00PM,
2.30PM-9.30PM",,"8.30AM-1.00PM,
2.30PM-9.30PM",,CLOSED,,CLOSED,,,,
