AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,"OPERATING HOURS
MON - FRI",SAT,SUN,PUBLIC HOLIDAY,REMARKS
BUKIT MERAH,SGP000697,KL NG MEDICAL CLINIC PTE LTD,BLK 1 JALAN BUKIT MERAH #01-4530,150001,62712554,62712558,"8.30AM-4.00PM,
6.30PM-8.30PM (CLOSED ON FRI NIGHT)",8.30AM-12.30PM,9.00AM-12.30PM,CLOSED,
BUKIT PANJANG,SGP000636,NUHEALTH  MEDICAL CENTRE,1 WOODLANDS  ROAD #01-23 JUNCTION 10,677899,62199298,62199298,"8.30AM-1.00PM,
2.00PM-4.30PM,
6.30PM-10.00PM","8.30AM-1.00PM,
2.00PM-4.30PM,
6.30PM-10.00PM","8.30AM-1.00PM,
2.00PM-4.30PM,
6.30PM-10.00PM","8.30AM-1.00PM,
2.00PM-4.30PM",
BUKIT PANJANG,SGP000206,LIFELINE BUKIT PANJANG MEDICAL CLINIC,BLK 103 GANGSA ROAD #01-37,670103,67605788,67630717,"8.30AM-12.00PM,
2.00PM-4.00PM,
6.30PM-9.00PM (CLOSED ON TUE & FRI NIGHT)",8.30AM-12.00PM,CLOSED,CLOSED,
BUKIT PANJANG,SGP000046,CHONG & LIM FAMILY CLINIC,BLK 103 GANGSA ROAD #01-39,670103,67626881,68937584,"8.30AM-12.30PM   
2.00PM-4.00PM  
6.30PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,Closed on Fri afternoons and evenings
BUKIT PANJANG,SGP000032,CASHEW MEDICAL & SURGERY,BLK 445 FAJAR ROAD #02-522 FAJAR SHOPPING CENTRE,670445,67634255,67630802,"8.00AM-4.00PM   
6.30PM-9.00PM","8.00AM-12.00PM
 
6.30PM-9.00PM",8.00AM-12.00PM,8.00AM-12.00PM,Patients to be registered 30 mins before closing
BUKIT PANJANG,SGP000524,HEALTHSPRINGS MEDICAL CLINIC,BLK 524A JELAPANG ROAD #02-02 GREENRIDGE SHOPPING CENTRE,671524,68926681,68920061,"MON-WED: 8.00AM-
4.00PM, THU-FRI:
8.00AM-3.00PM, MON-THU: 6.00PM-
9.30PM",8.30AM-1.00PM,CLOSED,CLOSED,"LAST REGISTRATION IS
30MINS BEFORE CLOSING TIME."
BUKIT TIMAH,SGP000629,ONEDOCTORS FAMILY CLINIC (HOLLAND VILLAGE),253 HOLLAND AVENUE #02-01,278982,64698938,64671682,"9.00AM-3.00PM,
5.00PM-10.00PM (CLOSED ON FRI EVENING)",9.00AM-3.00PM,CLOSED,CLOSED,
BUKIT TIMAH,SGP000054,CHUNGKIAW  CLINIC,118 UPPER BUKIT TIMAH ROAD  GOH & GOH BUILDING,588173,64662255,64676480,"MON/WED/FRI:
9.00AM-12.00PM,
2.00PM-5.30PM TUE: 9.00AM-
12.00PM, 2.00PM-
4.00PM   THU:
9.00AM-12.00PM",CLOSED,9.00AM-12.00PM,CLOSED,
BUKIT TIMAH,SGP000028,BUKIT TIMAH FAMILY CLINIC & SURGERY,897A BUKIT TIMAH ROAD,589617,64698816,64698817,"8.30AM-12.30PM   
2.00PM-5.00PM   
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
BUKIT TIMAH,SGP000040,CHANG CLINIC,1 JALAN ANAK BUKIT #B1-08/10 BUKIT TIMAH PLAZA,588996,64663811,64670780,"8.30AM-12.30PM   
2.00PM-6.00PM",8.30AM-12.30PM,8.30AM-12.00PM,CLOSED,
BUKIT TIMAH,SGP000223,MANDARIN  MEDICAL CENTRE,66 JALAN JURONG KECHIL  JK BUILDING,598586,64667822,64664353,"8.30AM-12.00PM,
2.00PM-4.30PM (CLOSED ON WED AFTERNOON)",8.30AM-12.00PM,8.30AM-12.00PM,CLOSED,
BUKIT TIMAH,SGP000347,THE CORONATION  CLINIC,587 BUKIT TIMAH ROAD #02-01 CORONATION SHOPPING PLAZA,269707,64686768,64686768,"9.00AM-12.30PM,
2.00PM-5.00PM",9.00AM-12.30PM,9.30AM-12.00PM,CLOSED,
